index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,4.803029856511524,4.7362238270895824,-0.06680602942194191,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.749383790152413, 10.160691697256906, 9.662441062927247, 9.091332026890345, 4.7362238270895824]"
1,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,4.803029856511524,4.649642779997417,-0.15338707651410743,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.751690755571637, 10.148617989676339, 9.643874958583288, 9.055150399889264, 4.649642779997417]"
2,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,4.803029856511524,4.983085709313552,0.18005585280202752,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.754097567664253, 10.178785615497166, 9.695697863896688, 9.159187396367392, 4.983085709313552]"
3,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,4.803029856511524,5.060916049991335,0.2578861934798109,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.754197365897042, 10.179275049482072, 9.69141924721854, 9.143534210750035, 5.060916049991335]"
4,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,4.803029856511524,5.083816401447568,0.2807865449360438,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.753766087123326, 10.177722222464425, 9.694993945530483, 9.145270347595215, 5.083816401447568]"
5,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,4.803029856511524,5.05357335124697,0.2505434947354459,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.759349931989398, 10.184666006905692, 9.701691627502441, 9.148163373129709, 5.05357335124697]"
6,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,4.803029856511524,4.872264095527284,0.06923423901575987,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.76496300977819, 10.193021493799547, 9.6834277826197, 9.091472148895264, 4.872264095527284]"
7,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,4.803029856511524,5.0721781917980735,0.26914833528654913,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.762928908211844, 10.198424911499023, 9.704893357413155, 9.136117512839181, 5.0721781917980735]"
8,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,4.803029856511524,4.892648782900402,0.08961892638887736,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.761609976632254, 10.185022790091379, 9.690226827348981, 9.10743030820574, 4.892648782900402]"
9,goldfish-models/cym_latn_10mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,4.803029856511524,5.058940669468471,0.2559108129569463,"[10.758410617283412, 10.168959290640695, 9.671603393554687, 9.080719784327917, 4.803029856511524]","[10.768370846339634, 10.219185175214495, 9.720530319213868, 9.136091790880476, 5.058940669468471]"
